zip3,latitude,longitude,zcta_count
462,39.782460,-86.138315,38
463,41.407574,-87.056168,45
464,41.553659,-87.336651,9
465,41.435165,-86.086500,48
466,41.661877,-86.294726,11
467,41.168663,-85.212758,62
468,41.084751,-85.163052,16
469,40.761980,-86.136323,62
470,39.158205,-85.079316,29
471,38.421684,-86.034132,45
472,39.039938,-85.740283,33
473,40.084525,-85.154138,59
474,38.996034,-86.643796,43
475,38.461532,-87.028056,52
476,38.126873,-87.511233,26
477,38.015778,-87.585770,9
478,39.440542,-87.291438,49
479,40.491311,-87.103731,65
480,42.836685,-82.802918,69
481,42.203554,-83.632041,70
482,42.381865,-83.115460,39
483,42.660319,-83.345325,51
484,43.292712,-83.215073,59
485,43.020501,-83.693945,10
486,43.984254,-84.357429,51
487,44.011536,-83.560643,50
488,43.020459,-84.679083,79
489,42.733905,-84.585240,7
490,42.199517,-85.543305,79
491,41.873442,-86.361566,20
492,42.049365,-84.355487,58
493,43.327565,-85.557311,42
494,43.379141,-86.139342,50
495,42.950790,-85.661592,14
496,44.435873,-85.524808,67
497,45.523148,-84.481041,66
498,46.171771,-86.959289,65
499,46.603633,-88.944652,46
500,41.622301,-93.939088,63
501,41.551723,-93.479162,69
502,41.623517,-93.600221,64
503,41.597891,-93.631608,17
504,43.168984,-93.367428,55
505,42.767284,-94.451880,74
506,42.655225,-92.460955,68
507,42.486316,-92.311799,4
508,40.961882,-94.556591,28
510,42.607463,-95.912841,55
511,42.529158,-96.373052,8
512,43.277379,-96.044362,20
513,43.266850,-95.139453,23
514,42.110293,-95.072730,32
515,41.447247,-95.548397,54
516,40.738644,-95.365102,20
520,42.457617,-90.973190,44
521,43.204095,-91.741165,32
522,41.901578,-91.769745,47
523,41.866423,-91.743658,53
524,41.966455,-91.672160,6
525,40.945160,-92.451009,50
526,40.879671,-91.440331,34
527,41.638324,-90.881311,44
528,41.565929,-90.611266,6
530,43.510366,-88.240982,75
531,42.755164,-88.323294,55
532,43.063781,-87.971966,30
534,42.748314,-87.831330,5
535,42.940522,-89.683296,81
537,43.070484,-89.376533,14
538,42.875190,-90.736179,21
539,43.630312,-89.552337,48
540,45.082581,-92.469730,24
541,45.081487,-88.240719,54
542,44.551498,-87.576537,27
543,44.522839,-88.002157,7
544,44.927321,-89.851275,77
545,45.884039,-89.857842,45
546,43.925256,-90.881624,53
547,44.856562,-91.512003,49
548,46.053737,-91.617748,62
549,44.192459,-88.963511,56
550,45.161385,-92.977195,69
551,44.956668,-93.079248,32
553,44.988150,-94.070017,86
554,45.012578,-93.316404,51
556,47.646675,-91.069395,13
557,47.391076,-92.647837,69
558,46.951681,-92.089282,11
559,43.885409,-92.282961,71
560,44.016893,-94.038572,71
561,43.922350,-95.647863,66
562,45.074866,-95.746131,74
563,45.827151,-94.591141,70
564,46.619645,-94.514994,39
565,46.860685,-96.096535,71
566,47.901137,-94.336598,48
567,48.398002,-96.207454,40
570,43.487705,-97.062342,69
571,43.549870,-96.749813,9
572,45.042746,-97.177455,56
573,43.913718,-98.508999,60
574,45.351275,-98.936750,49
575,43.857188,-100.612543,43
576,45.436803,-101.606128,32
577,44.247863,-103.113051,57
580,46.651993,-97.384687,60
581,46.863065,-96.834152,4
582,48.245424,-97.713433,58
583,48.322876,-99.343486,50
584,46.863734,-99.097232,62
585,46.748750,-100.981011,45
586,46.733066,-103.002563,31
587,48.337957,-101.680112,63
588,48.194826,-103.477998,15
590,45.970000,-108.619281,72
591,45.672317,-108.415060,4
592,48.204999,-105.618430,41
